year,cocnumber,doe_total_rate,doe_unsheltered_rate,doe_sheltered_rate,doe_hotel_motel_rate,doe_doubled_up_rate
2017-2015,LA-504,-4682,-157,-849,-261,-3690
2015-2016,LA-504,-449,-19,-2,2,-64
2016-2015,LA-505,-706,-6,-71,-70,-603
2015-2017,LA-505,-294,0,-3,19,-259
2017-2014,LA-505,332,0,34,5,119
2016-2015,LA-506,-261,-15,-17,1,-265
2015-2017,LA-506,6320,221,2766,207,3220
2017-2014,LA-506,-6304,-182,-2772,-228,-3251
2015-2014,LA-507,-90,-24,-62,44,30
2014-2016,LA-507,345,-70,223,-40,126
2016-2017,LA-507,202,-11,49,17,121
2015-2017,LA-508,49,-20,24,-17,-200
2017-2014,LA-508,35,17,6,44,204
2014-2016,LA-508,61,7,-12,-31,160
2014-2016,LA-509,-135,12,-96,3,290
2016-2015,LA-509,-38,29,-3,7,-335
2015-2017,LA-509,-475,-298,-7,-13,42
2016-2015,MA-500,-1030,8,-798,28,-258
2015-2017,MA-500,317,-66,1326,-598,-347
2017-2014,MA-500,-899,-7,-1565,580,79
2016-2015,MA-502,-48,3,-56,71,-66
2015-2017,MA-502,111,-3,111,-93,96
2017-2014,MA-502,-260,0,-194,-22,-145
2014-2016,MA-503,2,0,27,-27,29
2016-2017,MA-503,47,2,-30,-4,51
2017-2015,MA-503,-40,-2,12,1,-86
2015-2017,MA-504,9,0,313,-535,231
2017-2014,MA-504,-280,0,-644,663,-300
2014-2016,MA-504,402,0,427,-645,426
2016-2015,MA-505,-184,-4,-23,-24,-148
2015-2017,MA-505,572,-4,105,-24,460
2017-2014,MA-505,-636,3,-165,57,-483
2014-2017,MA-506,629,-8,94,-135,655
2017-2016,MA-506,-216,2,3,77,-214
2016-2015,MA-506,-181,4,-52,73,-237
2015-2016,MA-507,-81,-3,-40,-92,10
2016-2017,MA-507,-34,0,50,-81,-15
2017-2014,MA-507,161,0,-64,162,33
2015-2016,MA-508,102,0,18,56,105
2016-2017,MA-508,192,0,125,-2,63
2017-2014,MA-508,-395,0,-222,39,-211
2017-2015,MA-509,-1,0,-18,-2,3
2015-2016,MA-509,47,0,26,10,20
2016-2014,MA-509,-117,0,-45,-18,-55
2016-2017,MA-510,191,3,108,-70,179
2017-2014,MA-510,-266,-5,-183,138,-270
2014-2015,MA-510,69,4,-19,-4,99
2015-2014,MA-511,-233,10,-200,-58,-21
2014-2016,MA-511,38,-4,62,-16,29
2016-2017,MA-511,-159,-1,13,-176,2
2014-2015,MA-515,-44,0,60,-27,-82
2015-2016,MA-515,-41,0,-29,-21,14
2016-2017,MA-515,83,4,11,-2,58
2015-2014,MA-516,-118,-1,-44,6,-94
2014-2016,MA-516,276,3,45,37,206
2016-2017,MA-516,104,16,57,-112,98
2016-2014,MA-517,-6,0,-2,3,-7
2014-2015,MA-517,4,0,-11,-3,16
2015-2017,MA-517,34,0,47,-8,-3
2014-2017,MA-518,-7,0,2,-32,16
2017-2015,MA-518,105,3,20,63,31
2015-2016,MA-518,-55,-3,-31,-4,-38
2014-2016,MA-519,124,0,41,51,6
2016-2015,MA-519,-85,0,13,-49,-30
2015-2017,MA-519,-73,4,-55,-108,116
2014-2017,MA-599,-219,4,85,-244,-48
2017-2016,MA-599,88,-7,-4,141,-31
2016-2015,MA-599,-1,0,-19,64,-10
2016-2017,MD-500,-60,0,-13,0,-41
2017-2014,MD-500,-7,0,-2,0,0
2014-2015,MD-500,5,0,-3,0,4
2017-2015,MD-501,-583,0,21,0,-502
2015-2016,MD-501,-87,93,13,17,-207
2016-2014,MD-501,542,-93,48,-17,602
2016-2015,MD-502,52,-10,-26,17,71
2015-2017,MD-502,-26,15,9,-21,-29
2017-2014,MD-502,50,-1,5,32,14
2015-2014,MD-503,-130,8,-6,63,-195
2014-2016,MD-503,-71,-14,1,-218,54
2016-2017,MD-503,41,9,-10,96,52
2014-2017,MD-504,-18,8,62,12,-100
2017-2015,MD-504,-33,-4,-47,-21,39
2015-2016,MD-504,56,5,49,28,-26
2017-2016,MD-505,-25,17,23,42,-107
2016-2015,MD-505,-295,-27,-16,-28,-224
2015-2014,MD-505,-64,9,21,-55,-39
2014-2016,MD-506,-3,-5,-4,0,6
2016-2017,MD-506,27,1,13,8,5
2017-2015,MD-506,-8,2,11,-19,-2
2017-2014,MD-507,-290,0,-31,-24,-235
2014-2016,MD-507,180,5,12,1,162
2016-2015,MD-507,-65,-5,-19,13,-54
2017-2015,MD-508,-26,-2,-36,9,-31
2015-2016,MD-508,-73,3,-12,29,-64
2016-2014,MD-508,124,-11,27,-60,152
2017-2016,MD-509,-17,-4,0,-9,-4
2016-2015,MD-509,29,42,48,2,-63
2015-2014,MD-509,3,46,-60,24,-7
2016-2014,MD-510,-33,0,-9,0,-50
2014-2017,MD-510,13,0,0,0,0
2017-2015,MD-510,14,3,5,3,42
2014-2016,MD-511,175,0,-1,-8,176
2016-2017,MD-511,93,3,31,14,49
2017-2015,MD-511,-212,0,-43,-17,-153
2017-2016,MD-512,-88,-9,-122,-21,-44
2016-2014,MD-512,-173,3,119,-61,-126
2014-2015,MD-512,192,4,53,37,98
2015-2016,MD-513,-373,-28,-14,27,-356
2016-2014,MD-513,289,0,-14,-15,345
2014-2017,MD-513,-243,3,55,-38,-329
2017-2015,MD-600,238,9,91,37,107
2015-2016,MD-600,323,-3,68,4,243
2016-2014,MD-600,-194,-5,-42,-70,-75
2017-2016,MD-601,-258,3,24,-39,-246
2016-2015,MD-601,-177,0,-26,72,-223
2015-2014,MD-601,18,-2,-40,1,59
2015-2016,ME-500,133,11,-77,100,54
2016-2014,ME-500,-128,-30,39,-72,-28
2014-2017,ME-500,348,41,59,31,126
2017-2016,ME-502,-96,-7,-16,-15,-58
2016-2014,ME-502,-73,0,-24,-37,-30
2014-2015,ME-502,-42,0,-33,22,-13
2017-2016,MI-500,1452,24,768,-20,943
2016-2015,MI-500,516,-11,-306,-120,542
2015-2014,MI-500,-583,-21,90,20,-480
2014-2015,MI-501,435,13,150,75,112
2015-2016,MI-501,-302,-5,35,25,-317
2016-2017,MI-501,-1280,-57,-578,-101,-666
2015-2014,MI-502,-179,0,20,2,-191
2014-2016,MI-502,212,0,21,-11,55
2016-2017,MI-502,198,23,20,-1,241
2017-2014,MI-503,-343,-4,114,-32,-454
2014-2016,MI-503,352,2,-34,11,424
2016-2015,MI-503,-5,-6,11,3,-114
2017-2016,MI-504,328,11,141,-1,190
2016-2015,MI-504,233,4,31,33,32
2015-2014,MI-504,-188,4,22,-63,-31
2014-2017,MI-505,-87,2,-18,77,10
2017-2016,MI-505,134,-3,-58,-41,78
2016-2015,MI-505,283,-5,63,-13,262
2014-2015,MI-506,667,191,266,10,183
2015-2017,MI-506,-562,-149,-709,196,135
2017-2016,MI-506,-74,53,43,-112,-127
2015-2016,MI-507,16,-25,-117,-37,151
2016-2017,MI-507,-155,3,-116,42,-104
2017-2014,MI-507,27,-3,230,-92,-137
2016-2015,MI-508,-245,5,-55,53,-104
2015-2017,MI-508,310,4,14,67,224
2017-2014,MI-508,-178,-9,8,-38,-211
2017-2014,MI-509,-173,88,-115,1,-135
2014-2015,MI-509,235,-92,58,10,229
2015-2016,MI-509,29,37,35,15,-50
2016-2015,MI-510,-23,7,23,4,57
