coc_number,coc_name,year,ard_ard,ard_pprn
CA-527,Tehama County,2019,0,201166
CA-528,Del Norte County,2012,0,0
CA-529,Lake County,2015,0,179563
CA-529,Lake County,2017,0,205638
CA-529,Lake County,2018,0,207430
CA-529,Lake County,2019,0,209334
CA-530,"Alpine, Inyo, Mono Counties",2016,0,103023
CA-530,"Alpine, Inyo, Mono Counties",2017,0,105476
CA-530,"Alpine, Inyo, Mono Counties",2018,0,104459
CA-530,"Inyo, Mono, Alpine Counties",2019,0,98744
CA-531,Nevada County,2019,175026,281740
CA-600,Los Angeles City & County,2012,79635832,79635832
CA-600,Los Angeles City & County,2013,83199988,
CA-600,Los Angeles City & County,2014,80670189,63511868
CA-600,Los Angeles City & County,2015,94569949,60330374
CA-600,Los Angeles City & County,2016,101995691,63572025
CA-600,Los Angeles City & County,2017,104865915,65917815
CA-600,Los Angeles City & County,2018,108095651,70478040
CA-600,Los Angeles City & County,2019,122457061,68961451
CA-601,San Diego,2012,15707214,15707214
CA-601,San Diego,2013,15876279,
CA-601,San Diego,2014,15800678,13275953
CA-601,San Diego City and County,2015,16534996,13323963
CA-601,San Diego City and County,2016,17363919,14448695
CA-601,San Diego City and County,2017,17708276,15802180
CA-601,San Diego City and County,2018,19504303,16895306
CA-601,San Diego City and County,2019,20809562,17172716
CA-602,"Santa Ana,Anaheim,Orange County",2012,15506828,15506828
CA-602,"Santa Ana,Anaheim,Orange County",2013,16894005,
CA-602,"Santa Ana,Anaheim,Orange County",2014,17597905,12975227
CA-602,"Santa Ana, Anaheim,Orange County",2015,19536499,12787010
CA-602,"Santa Ana, Anaheim,Orange County",2016,21703735,13302922
CA-602,"Santa Ana, Anaheim,Orange County",2017,21703735,13665037
CA-602,"Santa Ana,Anaheim,Orange County",2018,22807570,14612152
CA-602,"Santa Ana,Anaheim,Orange County",2019,23388929,14414374
CA-603,"Santa Maria,Santa Barbara County",2012,1490926,1490926
CA-603,"Santa Maria,Santa Barbara County",2013,1488203,
CA-603,"Santa Maria,Santa Barbara County",2014,1402252,1629885
CA-603,"Santa Maria,Santa Barbara County",2015,1482184,1577428
CA-603,"Santa Maria,Santa Barbara County",2016,1615010,1760769
CA-603,"Santa Maria,Santa Barbara County",2017,1614978,1576493
