cocnumber,of_leas_in_coc,total_hcy_count,hotels_motels,unsheltered,sheltered,doubled_up,cdw,lep,uhy
WA-501,210,14664,824,1163,1298,11088,2857,2471,1738
WA-502,18,3042,106,89,395,2425,682,143,639
WA-503,19,4606,356,346,454,3389,941,351,606
WA-504,15,3908,306,368,525,2693,962,548,489
WA-507,16,2549,108,36,152,2223,431,1011,142
WA-508,14,2811,121,233,253,2195,563,415,436
WI-500,374,9634,544,114,1304,7311,1943,453,1002
WI-501,37,6195,282,62,937,4882,1441,563,888
WI-502,16,1223,76,,6,1063,175,59,134
WI-503,18,1986,228,33,267,1433,449,202,137
WV-500,5,294,3,3,67,217,64,,26
WV-501,2,367,,,71,280,83,,
WV-503,4,1266,40,31,186,1007,257,,61
WV-508,40,6085,115,212,982,4667,1301,85,220
WY-500,48,1878,158,11,471,1158,385,96,229
Totals,12722,1409844,83580,48366,196125,1023125,254557,220050,113467
,25444,,,,,,,,
