Year,State,coc_number,spm0_coc_award_amount,HMIS Count,SPM4 Stayers,SPM4 Leavers,SPM5,SPM7,coc_category,total_returns,0_to_6_month_returns,6_to_12_month_returns,12_to_24_month_returns,doe_total_rate,doe_unsheltered_rate,doe_sheltered_rate,doe_hotel_motel_rate,doe_doubled_up_rate
2017,IL,IL-500,927850.0,375.0,23.0,73.0,202.0,2.0,Suburban CoCs,140,7,2,6,157.0,2.0,-9.0,27.0,182.0
2017,IL,IL-501,1453190.0,1480.0,154.0,40.0,1096.0,19.0,Suburban CoCs,268,6,9,18,168.0,-15.0,-28.0,7.0,157.0
2017,IL,IL-502,2002113.0,1199.0,91.0,79.0,828.0,11.0,Suburban CoCs,605,66,72,34,93.0,2.0,25.0,69.0,69.0
2017,IL,IL-503,692843.0,400.0,31.0,56.0,278.0,0.0,Other Urban CoCs,61,15,8,12,105.0,29.0,9.0,3.0,88.0
2017,IL,IL-504,1814852.0,452.0,84.0,45.0,340.0,0.0,Suburban CoCs,244,7,3,10,-202.0,-3.0,-42.0,19.0,-2.0
2017,IL,IL-506,3966130.0,1289.0,108.0,24.0,866.0,0.0,Suburban CoCs,256,16,19,18,-113.0,0.0,-172.0,-56.0,-48.0
2017,IL,IL-507,1738227.0,1383.0,84.0,124.0,884.0,122.0,Suburban CoCs,364,2,15,24,146.0,-2.0,19.0,4.0,220.0
2017,IL,IL-508,3147676.0,379.0,131.0,61.0,284.0,0.0,Suburban CoCs,57,1,8,3,-191.0,-13.0,-41.0,-31.0,-93.0
2017,IL,IL-509,580973.0,238.0,49.0,21.0,174.0,0.0,Suburban CoCs,55,6,7,4,38.0,3.0,5.0,6.0,23.0
2017,IL,IL-510,67054040.0,19253.0,3895.0,1511.0,12439.0,703.0,Major Cities,5852,661,324,395,-625.0,-153.0,114.0,552.0,-997.0
2017,IL,IL-511,11731317.0,2735.0,392.0,236.0,1701.0,24.0,Suburban CoCs,1054,105,34,33,262.0,0.0,166.0,65.0,62.0
2017,IL,IL-512,965449.0,1085.0,440.0,470.0,751.0,36.0,Rural CoCs,309,20,17,9,105.0,7.0,16.0,-9.0,-59.0
2017,IL,IL-513,415203.0,1156.0,40.0,45.0,738.0,80.0,Other Urban CoCs,496,116,18,19,30.0,-5.0,49.0,-42.0,10.0
2017,IL,IL-514,4526372.0,1214.0,190.0,41.0,707.0,25.0,Suburban CoCs,444,55,10,12,21.0,-6.0,18.0,-47.0,106.0
2017,IL,IL-515,882109.0,246.0,22.0,54.0,202.0,0.0,Rural CoCs,252,10,16,3,243.0,0.0,30.0,12.0,-109.0
2017,IL,IL-516,767758.0,251.0,27.0,7.0,160.0,0.0,Other Urban CoCs,197,4,3,2,-127.0,-4.0,-7.0,-14.0,-78.0
2017,IL,IL-517,1718394.0,1501.0,46.0,50.0,779.0,0.0,Suburban CoCs,272,44,25,22,285.0,-5.0,-2.0,-18.0,295.0
2017,IL,IL-518,902842.0,472.0,20.0,47.0,322.0,3.0,Rural CoCs,424,14,6,9,-11.0,5.0,-67.0,11.0,73.0
2017,IL,IL-519,641558.0,412.0,17.0,9.0,312.0,0.0,Rural CoCs,372,22,22,15,8.0,0.0,4.0,44.0,15.0
2017,IL,IL-520,813941.0,943.0,19.0,57.0,734.0,9.0,Rural CoCs,243,27,14,6,341.0,27.0,-121.0,-27.0,219.0
2017,IN,IN-502,13545129.0,8427.0,1048.0,941.0,5385.0,420.0,Rural CoCs,4985,431,235,278,276.0,35.0,279.0,-137.0,-234.0
2017,IN,IN-503,5064847.0,3458.0,358.0,169.0,2368.0,21.0,Major Cities,1591,110,74,122,174.0,-116.0,30.0,10.0,167.0
