coc_number,year,ard_ard,ard_pprn
KS-507,2015,2820840,3598519
KS-507,2016,2508151,3783922
KS-507,2017,2481159,3905501
KS-507,2018,2494555,4114049
KS-507,2019,2527967,4063745
KY-500,2015,8222231,7352208
KY-500,2016,7886787,7746621
KY-500,2017,8013913,7995628
KY-500,2018,8104329,8554030
KY-500,2019,10054171,8451147
KY-501,2015,9073921,7001350
KY-501,2016,8941171,7468452
KY-501,2017,9180192,7768501
KY-501,2018,9276353,8305350
KY-501,2019,9632327,8212244
KY-502,2015,1523798,1376008
KY-502,2016,1543967,1484369
KY-502,2017,1455417,1562144
KY-502,2018,1449768,1670098
KY-502,2019,1765174,1688222
LA-500,2015,2735010,2044293
LA-500,2016,2392843,2114372
LA-500,2017,2405853,2119489
LA-500,2018,2540376,2271708
LA-500,2019,2764151,2290651
LA-502,2015,3979023,1603504
LA-502,2016,3771327,1624454
LA-502,2017,3771165,1804562
LA-502,2018,3925902,1940907
LA-502,2019,3892590,1975312
LA-503,2015,16855982,9457614
LA-503,2016,17862078,10084689
LA-503,2017,18388367,10469297
LA-503,2018,18524402,11192890
LA-503,2019,20668410,11125297
LA-504,2015,1988926,3094754
LA-504,2016,1728880,3226285
LA-505,2015,1491555,721021
LA-505,2016,1572674,748886
LA-505,2017,1572674,897812
LA-505,2018,1609261,971443
LA-505,2019,1698012,942048
LA-506,2015,2224329,828290
LA-506,2016,2225145,874855
LA-506,2017,2165826,1018225
LA-506,2018,2132851,1071535
LA-506,2019,2428518,1143298
LA-507,2015,714271,561051
LA-507,2016,704860,562760
LA-507,2017,698626,680021
LA-507,2018,716695,716901
LA-507,2019,708464,709080
LA-508,2015,1188662,626922
LA-508,2016,1052820,640527
LA-508,2017,1052820,716533
LA-509,2015,11269813,736923
LA-509,2016,11818487,764723
LA-509,2017,14377528,3647734
LA-509,2018,16272579,4669586
LA-509,2019,17880159,4639673
MA-500,2015,24063154,11032613
MA-500,2016,22164525,11670318
MA-500,2017,24083209,12023114
MA-500,2018,25645902,12853981
MA-500,2019,28251724,12626955
MA-502,2015,1997049,1563615
MA-502,2016,1725129,1675738
