coc_number,coc_name,year
NV-501,"Reno, Sparks/Washoe County",2017
NV-502,Nevada Balance of State,2017
NY-500,"Rochester, Irondequoit, Greece/Monroe County",2017
NY-503,Albany City & County,2017
NY-504,Cattaraugus County,2017
NY-505,"Syracuse/Onondaga, Oswego Counties",2017
NY-507,Schenectady City & County,2017
NY-508,"Buffalo, Niagara Falls/Erie, Niagara, Orleans, Genesee, Wyoming Counties",2017
NY-510,Ithaca/Tompkins County,2017
NY-511,"Binghamton, Union Town/Broome, Otsego, Chenango, Delaware, Cortland Counties",2017
NY-512,Troy/Rensselaer County,2017
NY-513,"Wayne, Ontario, Seneca, Yates Counties",2017
NY-514,"Jamestown, Dunkirk/Chautauqua County",2017
NY-516,Clinton County,2017
NY-518,"Utica, Rome/Oneida, Madison Counties",2017
NY-519,"Columbia, Greene Counties",2017
NY-520,Franklin County,2017
NY-522,"Jefferson, Lewis, St. Lawrence Counties",2017
NY-523,"Glens Falls, Saratoga Springs/Saratoga, Washington, Warren, Hamilton Counties",2017
NY-600,New York City,2017
NY-601,Poughkeepsie/Dutchess County,2017
NY-602,"Newburgh, Middletown/Orange County",2017
NY-603,"Nassau, Suffolk Counties",2017
NY-604,"Yonkers, Mount Vernon/Westchester County",2017
NY-606,Rockland County,2017
NY-607,Sullivan County,2017
NY-608,Kingston/Ulster County,2017
OH-500,Cincinnati/Hamilton County,2017
OH-501,Toledo/Lucas County,2017
OH-502,Cleveland/Cuyahoga County,2017
OH-503,Columbus/Franklin County,2017
OH-504,Youngstown/Mahoning County,2017
OH-505,"Dayton, Kettering/Montgomery County",2017
OH-506,Akron/Summit County,2017
OH-507,Ohio Balance of State,2017
OH-508,"Canton, Massillon, Alliance/Stark County",2017
OK-500,North Central Oklahoma,2017
OK-501,Tulsa City & County,2017
OK-502,Oklahoma City,2017
OK-503,Oklahoma Balance of State,2017
OK-504,Norman/Cleveland County,2017
OK-505,Northeast Oklahoma,2017
OK-506,Southwest Oklahoma Regional,2017
OK-507,Southeastern Oklahoma Regional,2017
OR-500,"Eugene, Springfield/Lane County",2017
OR-501,"Portland, Gresham/Multnomah County",2017
OR-502,"Medford, Ashland/Jackson County",2017
OR-503,Central Oregon,2017
OR-505,Oregon Balance of State,2017
OR-506,"Hillsboro, Beaverton/Washington County",2017
OR-507,Clackamas County,2017
PA-500,Philadelphia,2017
PA-501,Harrisburg/Dauphin County,2017
PA-502,"Upper Darby, Chester, Haverford/Delaware County",2017
PA-503,"Wilkes-Barre, Hazleton/Luzerne County",2017
PA-504,"Lower Merion, Norristown, Abington/Montgomery County",2017
PA-505,Chester County,2017
PA-506,Reading/Berks County,2017
PA-508,Scranton/Lackawanna County,2017
PA-509,Eastern Pennsylvania,2017
PA-510,Lancaster City & County,2017
PA-511,"Bristol, Bensalem/Bucks County",2017
PA-512,York City & County,2017
PA-600,"Pittsburgh, Mckeesport, Penn Hills/Allegheny County",2017
PA-601,Western Pennsylvania,2017
PA-603,Beaver County,2017
PA-605,Erie City & County,2017
PR-502,Puerto Rico Balance of Commonwealth,2017
RI-500,Rhode Island Statewide,2017
SC-500,Charleston/Low Country,2017
SC-501,"Greenville, Anderson, Spartanburg / Upstate",2017
SC-502,Columbia/Midlands,2017
SC-503,"Myrtle Beach, Sumter City & County",2017
SD-500,South Dakota Statewide,2017
TN-500,Chattanooga/Southeast Tennessee,2017
TN-501,Memphis/Shelby County,2017
TN-502,Knoxville/Knox County,2017
TN-503,Central Tennessee,2017
TN-504,Nashville-Davidson County,2017
TN-506,Upper Cumberland,2017
TN-507,Jackson/West Tennessee,2017
TN-509,Appalachian Regional,2017
TN-510,Murfreesboro/Rutherford County,2017
TN-512,"Morristown/Blount, Sevier, Campbell, ke Counties",2017
TX-500,San Antonio/Bexar County,2017
TX-503,Austin/Travis County,2017
TX-600,"Dallas City & County, Irving",2017
TX-601,"Fort Worth, Arlington/Tarrant County",2017
TX-603,El Paso City & County,2017
TX-604,Waco/Mclennan County,2017
TX-607,Texas Balance of State,2017
TX-611,Amarillo,2017
TX-624,"Wichita Falls/Wise, Palo Pinto, Wichita, Archer Counties",2017
TX-700,"Houston, Pasadena/Harris, Fort Bend Counties",2017
TX-701,"Bryan, College Station/Brazos Valley",2017
UT-500,Salt Lake City & County,2017
UT-503,Utah Balance of State,2017
UT-504,Provo/Mountainland,2017
VA-500,"Richmond/Henrico, Chesterfield, Hanover Counties",2017
VA-501,"Norfolk/Chesapeake, Suffolk, Isle Of Wight, Southampton Counties",2017
VA-502,"Roanoke City & County, Salem",2017
VA-503,Virginia Beach,2017
VA-504,Charlottesville,2017
VA-505,"Newport News, Hampton/Virginia Peninsula",2017
VA-507,Portsmouth,2017
VA-508,Lynchburg,2017
VA-513,"Harrisonburg, Winchester/Western Virginia",2017
VA-514,"Fredericksburg/Spotsylvania, Stafford Counties",2017
VA-521,Virginia Balance of State,2017
VA-600,Arlington County,2017
VA-601,Fairfax County,2017
VA-602,Loudoun County,2017
VA-603,Alexandria,2017
VA-604,Prince William County,2017
VT-500,Vermont Balance of State,2017
VT-501,Burlington/Chittenden County,2017
WA-500,Seattle/King County,2017
WA-501,Washington Balance of State,2017
WA-502,Spokane City & County,2017
WA-503,"Tacoma, Lakewood/Pierce County",2017
WA-504,Everett/Snohomish County,2017
WA-507,Yakima City & County,2017
WA-508,Vancouver/Clark County,2017
WI-500,Wisconsin Balance of State,2017
WI-501,Milwaukee City & County,2017
WI-502,Racine City & County,2017
WI-503,Madison/Dane County,2017
WV-500,"Wheeling, Weirton Area",2017
WV-501,"Huntington/Cabell, Wayne Counties",2017
WV-503,"Charleston/Kanawha, Putnam, Boone, Clay Counties",2017
WV-508,West Virginia Balance of State,2017
WY-500,Wyoming Statewide,2017
AL-507,Alabama Balance of State,2016
AK-500,Anchorage,2016
AL-500,"Birmingham/Jefferson, St. Clair, Shelby Counties",2016
AL-503,Huntsville/North Alabama,2016
AK-501,Alaska Balance of State,2016
AL-505,Gadsden/Northeast Alabama,2016
AL-501,Mobile City & County/Baldwin County,2016
AL-504,Montgomery City & County,2016
AL-502,Florence/Northwest Alabama,2016
AL-506,Tuscaloosa City & County,2016
AZ-500,Arizona Balance of State,2016
AZ-502,"Phoenix, Mesa/Maricopa County",2016
AZ-501,Tucson/Pima County,2016
IL-502,"Waukegan, North Chicago/Lake County",2016
AR-500,Little Rock/Central Arkansas,2016
AR-501,Fayetteville/Northwest Arkansas,2016
AR-503,Arkansas Balance of State,2016
AR-505,Southeast Arkansas,2016
AR-504,Delta Hills,2016
MI-500,Michigan Balance of State,2016
ID-501,Idaho Balance of State,2016
CA-608,Riverside City & County,2016
MN-504,Northeast Minnesota,2016
CA-600,Los Angeles City & County,2016
CA-507,Marin County,2016
CA-515,"Roseville, Rocklin/Placer, Nevada Counties",2016
CA-609,San Bernardino City & County,2016
CA-502,"Oakland, Berkeley/Alameda County",2016
CA-514,Fresno City & County/Madera County,2016
CA-604,Bakersfield/Kern County,2016
CA-520,Merced City & County,2016
CA-504,"Santa Rosa, Petaluma/Sonoma County",2016
CA-503,Sacramento City & County,2016
CA-522,Humboldt County,2016
CA-601,San Diego City And County,2016
CA-508,Watsonville/Santa Cruz City & County,2016
CA-506,"Salinas/Monterey, San Benito Counties",2016
CA-511,Stockton/San Joaquin County,2016
CA-614,San Luis Obispo County,2016
CA-519,"Chico, Paradise/Butte County",2016
CA-510,"Turlock, Modesto/Stanislaus County",2016
CA-513,"Visalia/Kings, Tulare Counties",2016
CA-516,"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties",2016
CA-603,Santa Maria/Santa Barbara County,2016
CA-611,"Oxnard, San Buenaventura/Ventura County",2016
