year,state,coc_name,coc_number,spm2_total_persons_exited_so_es_th_sh_ph,spm2_total_persons_returns_in_6_mths,spm2_total_persons_returns_in_12_mths_should_include_the_6_month_cohort,spm2_total_persons_returns_in_24_mths_should_include_both_the_6_and_12_month_cohort
2015,KY,Louisville/Jefferson County CoC,KY-501,1651,329,408,502
2015,KY,Lexington/Fayette County CoC,KY-502,694,60,84,112
2015,LA,Lafayette/Acadiana CoC,LA-500,570,46,72,120
2015,LA,Shreveport/Bossier/Northwest CoC,LA-502,581,38,81,135
2015,LA,New Orleans/Jefferson Parish CoC,LA-503,1903,192,272,354
2015,LA,Monroe/Northeast Louisiana CoC,LA-505,456,28,39,54
2015,LA,Slidell/Southeast Louisiana CoC,LA-506,123,6,9,15
2015,LA,Alexandria/Central Louisiana CoC,LA-507,219,10,18,34
2015,LA,Houma-Terrebonne/Thibodaux CoC,LA-508,179,11,11,21
2015,LA,Louisiana Balance of State (BoS),LA-509,109,25,38,45
2015,MA,Boston CoC,MA-500,721,74,94,125
2015,MA,Lynn CoC,MA-502,283,10,19,23
2015,MA,Cape Cod/Islands CoC,MA-503,366,27,38,56
2015,MA,Springfield CoC,MA-504,1182,20,48,94
2015,MA,New Bedford CoC,MA-505,380,14,28,40
2015,MA,Worcester City & County CoC,MA-506,1427,207,290,342
2015,MA,Pittsfield/Berkshire County CoC,MA-507,398,4,22,49
2015,MA,Lowell CoC,MA-508,0,0,0,0
2015,MA,Cambridge CoC,MA-509,121,5,14,17
2015,MA,Gloucester/Haverhill/Salem/Essex County CoC,MA-510,599,27,44,63
2015,MA,Quincy/Brockton/Weymouth/Plymouth City and County CoC,MA-511,989,134,183,225
2015,MA,Fall River CoC,MA-515,352,30,35,46
2015,MA,Massachusetts Balance of State,MA-516,649,17,27,35
2015,MA,Somerville CoC,MA-517,77,2,3,4
2015,MA,Attleboro/Taunton/Bristol County CoC,MA-519,246,9,13,17
2015,MD,Cumberland/Allegany County CoC,MD-500,113,9,13,19
2015,MD,Baltimore City CoC,MD-501,1269,71,116,173
2015,MD,Harford County CoC,MD-502,139,4,11,16
2015,MD,Annapolis/Anne Arundel County CoC,MD-503,360,38,50,61
2015,MD,Howard County CoC,MD-504,105,4,4,4
2015,MD,Baltimore County CoC,MD-505,721,51,84,130
2015,MD,Carroll County CoC,MD-506,135,2,10,19
2015,MD,Cecil County CoC,MD-507,0,0,0,0
2015,MD,"Charles, Calvert, St.Mary's Counties CoC",MD-508,308,14,28,41
2015,MD,Frederick City & County CoC,MD-509,72,1,4,5
2015,MD,Garrett County CoC,MD-510,147,7,15,22
2015,MD,Mid-Shore Regional CoC,MD-511,85,4,10,13
2015,MD,Hagerstown/Washington County CoC,MD-512,0,0,0,0
2015,MD,Wicomico/Somerset/Worcester County CoC,MD-513,336,35,60,83
2015,MD,Prince George`s County/Maryland CoC,MD-600,523,12,23,50
2015,MD,Montgomery County CoC,MD-601,1058,53,91,146
2015,ME,Maine Balance of State CoC,ME-500,3337,437,616,798
2015,MI,Michigan Balance of State CoC,MI-500,5244,449,720,955
2015,MI,Detroit CoC,MI-501,5432,1257,1590,1961
2015,MI,Dearborn/Dearborn Heights/Westland/Wayne County CoC,MI-502,1105,59,79,102
2015,MI,St. Clair Shores/Warren/Macomb County CoC,MI-503,648,63,85,126
2015,MI,Pontiac/Royal Oak/Oakland County CoC,MI-504,109,7,9,10
2015,MI,Flint/Genesee County CoC,MI-505,310,47,58,77
2015,MI,Grand Rapids/Wyoming/Kent County CoC,MI-506,703,67,118,157
2015,MI,Portage/Kalamazoo City & County CoC,MI-507,369,38,71,103
