year,coc_number,coc_name
2007,TN-510,"Murfreesboro,Rutherford County"
2007,TN-512,"Morristown,Blount, Sevier, Campbell, Cocke Counties"
2007,TX-500,"San Antonio,Bexar County"
2007,TX-503,"Austin,Travis County"
2007,TX-600,"Dallas City & County, Irving"
2007,TX-601,"Fort Worth, Arlington,Tarrant County"
2007,TX-603,El Paso City & County
2007,TX-604,"Waco,McLennan County"
2007,TX-607,Texas Balance of State
2007,TX-611,Amarillo
2007,TX-624,"Wichita Falls,Wise, Palo Pinto, Wichita, Archer Counties"
2007,TX-700,"Houston, Pasadena, Conroe,Harris, Ft. Bend, Montgomery, Counties"
2007,TX-701,"Bryan, College Station,Brazos Valley"
2007,UT-500,Salt Lake City & County
2007,UT-503,Utah Balance of State
2007,UT-504,"Provo,Mountainland"
2007,VA-500,"Richmond,Henrico, Chesterfield, Hanover Counties"
2007,VA-501,"Norfolk,Chesapeake, Suffolk, Isle of Wight, Southampton Counties"
2007,VA-502,"Roanoke City & County, Salem"
2007,VA-503,Virginia Beach
2007,VA-504,Charlottesville
2007,VA-505,"Newport News, Hampton,Virginia Peninsula"
2007,VA-507,Portsmouth
2007,VA-508,Lynchburg
2007,VA-513,"Harrisburg, Winchester,Western Virginia"
2007,VA-514,"Fredericksburg,Spotsylvania, Stafford Counties"
2007,VA-521,Virginia Balance of State
2007,VA-600,Arlington County
2007,VA-601,Fairfax County
2007,VA-602,Loudoun County
2007,VA-603,Alexandria
2007,VA-604,Prince William County
2007,VI-500,Virgin Islands
2007,VT-500,Vermont Balance of State
2007,VT-501,"Burlington,Chittenden County"
2007,WA-500,"Seattle,King County"
2007,WA-501,Washington Balance of State
2007,WA-502,Spokane City & County
2007,WA-503,"Tacoma, Lakewood,Pierce County"
2007,WA-504,"Everett,Snohomish County"
2007,WA-508,"Vancouver,Clark County"
2007,WI-500,Wisconsin Balance of State
2007,WI-501,Milwaukee City & County
2007,WI-502,Racine City & County
2007,WI-503,"Madison,Dane County"
2007,WV-500,"Wheeling, Weirton Area"
2007,WV-501,"Huntington,Cabell, Wayne Counties"
2007,WV-503,"Charleston,Kanawha, Putnam, Boone, Clay Counties"
2007,WV-508,West Virginia Balance of State
2007,WY-500,Wyoming Statewide
2008,AK-500,Anchorage
2008,AK-501,Alaska Balance of State
2008,AL-500,"Birmingham,Jefferson, St. Clair, Shelby Counties"
2008,AL-501,"Mobile City & County,Baldwin County"
2008,AL-502,"Florence,Northwest Alabama"
2008,AL-503,"Huntsville,North Alabama"
2008,AL-504,Montgomery City & County
2008,AL-505,"Gadsden,Northeast Alabama"
2008,AL-506,Tuscaloosa City & County
2008,AL-507,Alabama Balance of State
2008,AR-500,"Little Rock,Central Arkansas"
2008,AR-501,"Fayetteville,Northwest Arkansas"
2008,AR-502,"Conway,Arkansas River Valley"
2008,AR-504,Delta Hills
2008,AR-505,Southeast Arkansas
2008,AR-506,"Johnson, Pope, Yell Counties"
2008,AZ-500,Arizona Balance of State
2008,AZ-501,"Tucson,Pima County"
2008,AZ-502,"Phoenix, Mesa,Maricopa County"
2008,CA-500,"San Jose,Santa Clara City & County"
2008,CA-501,San Francisco
2008,CA-502,"Oakland, Berkeley,Alameda County"
2008,CA-503,Sacramento City & County
2008,CA-504,"Santa Rosa, Petaluma,Sonoma County"
2008,CA-505,"Richmond,Contra Costa County"
2008,CA-506,"Salinas,Monterey, San Benito Counties"
2008,CA-507,Marin County
2008,CA-508,"Watsonville,Santa Cruz City & County"
2008,CA-509,Mendocino County
2008,CA-510,"Turlock, Modesto,Stanislaus County"
2008,CA-511,"Stockton,San Joaquin County"
2008,CA-512,"Daly,San Mateo County"
2008,CA-513,"Visalia,Kings, Tulare Counties"
2008,CA-514,"Fresno City & County,Madera County"
2008,CA-515,"Roseville, Rocklin,Placer, Nevada Counties"
2008,CA-516,"Redding,Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties"
2008,CA-517,Napa City & County
2008,CA-518,"Vallejo,Solano County"
2008,CA-519,"Chico, Paradise,Butte County"
2008,CA-520,Merced City & County
2008,CA-521,"Davis, Woodland,Yolo County"
2008,CA-522,Humboldt County
2008,CA-523,"Colusa, Glenn, Trinity Counties"
2008,CA-524,"Yuba City & County,Sutter County"
2008,CA-525,El Dorado County
2008,CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties"
2008,CA-600,Los Angeles City & County
2008,CA-601,San Diego City and County
2008,CA-602,"Santa Ana, Anaheim,Orange County"
2008,CA-603,"Santa Maria,Santa Barbara County"
2008,CA-604,"Bakersfield,Kern County"
2008,CA-606,Long Beach
2008,CA-607,Pasadena
2008,CA-608,Riverside City & County
2008,CA-609,San Bernardino City & County
2008,CA-611,"Oxnard, San Buenaventura,Ventura County"
2008,CA-612,Glendale
2008,CA-613,Imperial County
2008,CA-614,San Luis Obispo County
2008,CO-500,Colorado Balance of State
2008,CO-503,Metropolitan Denver
2008,CO-504,"Colorado Springs,El Paso County"
2008,CT-503,"Bridgeport, Stamford, Norwalk,Fairfield County"
2008,CT-505,Connecticut Balance of State
2008,DC-500,District of Columbia
2008,DE-500,Delaware Statewide
2008,FL-500,"Sarasota, Bradenton,Manatee, Sarasota Counties"
2008,FL-501,"Tampa,Hillsborough County"
2008,FL-502,"St. Petersburg, Clearwater, Largo,Pinellas County"
2008,FL-503,"Lakeland, Winterhaven,Polk County"
2008,FL-504,"Daytona Beach, Daytona,Volusia, Flagler Counties"
2008,FL-505,"Fort Walton Beach,Okaloosa, Walton Counties"
2008,FL-506,"Tallahassee,Leon County"
2008,FL-507,"Orlando,Orange, Osceola, Seminole Counties"
2008,FL-508,"Gainesville,Alachua, Putnam Counties"
2008,FL-509,"Fort Pierce,St. Lucie, Indian River, Martin Counties"
2008,FL-510,"Jacksonville-Duval, Clay Counties"
2008,FL-511,"Pensacola,Escambia, Santa Rosa Counties"
2008,FL-512,St. Johns County
2008,FL-513,"Palm Bay, Melbourne,Brevard County"
2008,FL-514,"Ocala,Marion County"
2008,FL-515,"Panama City,Bay, Jackson Counties"
2008,FL-517,"Hendry, Hardee, Highlands Counties"
2008,FL-518,"Columbia, Hamilton, Lafayette, Suwannee Counties"
2008,FL-519,Pasco County
2008,FL-520,"Citrus, Hernando, Lake, Sumter Counties"
2008,FL-600,Miami-Dade County
2008,FL-601,"Ft Lauderdale,Broward County"
2008,FL-602,"Punta Gorda,Charlotte County"
2008,FL-603,"Ft Myers, Cape Coral,Lee County"
2008,FL-604,Monroe County
2008,FL-605,"West Palm Beach,Palm Beach County"
2008,FL-606,"Naples,Collier County"
2008,GA-500,Atlanta
2008,GA-501,Georgia Balance of State
2008,GA-503,Athens-Clarke County
2008,GA-504,Augusta-Richmond County
2008,GA-505,"Columbus-Muscogee,Russell County"
2008,GA-506,"Marietta,Cobb County"
2008,GA-507,"Savannah,Chatham County"
2008,GU-500,Guam
2008,HI-500,Hawaii Balance of State
2008,HI-501,Honolulu City and County
2008,IA-500,"Sioux City,Dakota, Woodbury Counties"
2008,IA-501,Iowa Balance of State
2008,IA-502,"Des Moines,Polk County"
2008,ID-500,"Boise,Ada County"
2008,ID-501,Idaho Balance of State
2008,IL-500,McHenry County
2008,IL-501,"Rockford,Winnebago, Boone Counties"
2008,IL-502,"Waukegan, North Chicago,Lake County"
2008,IL-503,"Champaign, Urbana, Rantoul,Champaign County"
2008,IL-504,Madison County
2008,IL-506,"Joliet, Bolingbrook,Will County"
2008,IL-507,"Peoria, Pekin,Fulton, Tazewell, Peoria, Woodford Counties"
2008,IL-508,"East St. Louis, Belleville,St. Clair County"
2008,IL-509,Dekalb City & County
2008,IL-510,Chicago
2008,IL-511,Cook County
2008,IL-512,"Bloomington,Central Illinois"
2008,IL-513,"Springfield,Sangamon County"
2008,IL-514,DuPage County
2008,IL-515,South Central Illinois
2008,IL-516,"Decatur,Macon County"
2008,IL-517,"Aurora, Elgin,Kane County"
2008,IL-518,"Rock Island, Moline,Northwestern Illinois"
2008,IL-519,West Central Illinois
2008,IL-520,Southern Illinois
2008,IN-502,Indiana Balance of State
2008,IN-503,Indianapolis
2008,KS-502,"Wichita,Sedgwick County"
2008,KS-503,"Topeka,Shawnee County"
2008,KS-505,"Overland Park, Shawnee,Johnson County"
2008,KS-507,Kansas Balance of State
2008,KY-500,Kentucky Balance of State
2008,KY-501,Louisville-Jefferson County
2008,KY-502,Lexington-Fayette County
2008,LA-500,"Lafayette,Acadiana"
2008,LA-502,"Shreveport, Bossier,Northwest Louisiana"
2008,LA-503,"New Orleans,Jefferson Parish"
