year,coc_number,hic_es_total_year_round_beds,hic_es_total_non_dv_year_round_beds,hic_es_total_hmis_year_round_beds,hic_es_total_seasonal_beds,hic_es_total_overflow_beds,hic_es_total_units_for_households_with_children,hic_es_total_beds_for_households_with_children,hic_es_total_beds_for_households_without_children,hic_th_total_year_round_beds,hic_th_total_non_dv_year_round_beds,hic_th_total_hmis_year_round_beds,hic_th_total_units_for_households_with_children,hic_th_total_beds_for_households_with_children,hic_th_total_beds_for_households_without_children,hic_psh_total_year_round_beds,hic_psh_total_non_dv_year_round_beds,hic_psh_total_hmis_year_round_beds,hic_psh_total_chronic_homeless_beds,hic_psh_total_units_for_households_with_children,hic_psh_total_beds_for_households_with_children,hic_psh_total_beds_for_households_without_children,hic_sh_total_year_round_beds,hic_sh_total_non_dv_year_round_beds,hic_sh_total_hmis_year_round_beds,hic_sh_total_beds_for_households_without_children,hic_es_total_beds_for_households_with_only_children,hic_th_total_beds_for_households_with_only_children,hic_sh_total_beds_for_households_with_only_children,hic_psh_total_beds_for_households_with_only_children,hic_rrh_total_year_round_beds,hic_rrh_total_non_dv_year_round_beds,hic_rrh_total_hmis_year_round_beds,hic_rrh_total_units_for_households_with_children,hic_rrh_total_beds_for_households_with_children,hic_rrh_total_beds_for_households_without_children,hic_rrh_total_beds_for_households_with_only_children,hic_sh_total_units_for_households_with_children,hic_sh_total_beds_for_households_with_children,hic_oph_total_year_round_beds,hic_oph_total_non_dv_year_round_beds,hic_oph_total_hmis_year_round_beds,hic_oph_total_units_for_households_with_children,hic_oph_total_beds_for_households_with_children,hic_oph_total_beds_for_households_without_children,hic_oph_total_beds_for_households_with_only_children,hic_es_dedicated_veteran_beds,hic_es_dedicated_youth_beds,hic_th_dedicated_veteran_beds,hic_th_dedicated_youth_beds,hic_sh_dedicated_veteran_beds,hic_sh_dedicated_youth_beds,hic_rrh_dedicated_veteran_beds,hic_rrh_dedicated_youth_beds,hic_psh_dedicated_veteran_beds,hic_psh_dedicated_youth_beds,hic_oph_dedicated_veteran_beds,hic_oph_dedicated_youth_beds
2015,MI-503,178,134,134,80,5,18,61,111,151,151,83,12,36,114,148,148,148,,17,34,114,25,25,25,25,6,1,false,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,,,,,,,,,,,,
2016,MI-503,176,132,132,80,5,18,61,109,152,152,79,9,29,122,152,152,152,,19,41,111,25,25,25,25,6,1,false,0,33,33,33,4,13,20,0,false,false,1095,1095,0,227,785,310,0,,,,,,,,,,,,
2017,MI-503,182,130,130,65,5,38,86,90,108,108,104,10,30,77,272,272,99,60,39,102,170,16,16,16,16,6,1,false,0,31,31,31,9,24,7,0,false,false,917,917,7,240,607,310,0,0,6,68,6,16,0,6,0,173,0,0,0
2018,MI-503,246,204,204,65,0,38,87,153,119,119,115,16,42,77,279,279,106,15,39,123,156,9,9,9,9,6,0,false,0,18,18,18,1,5,13,0,false,false,0,0,0,0,0,0,0,6,6,68,5,9,0,6,0,173,0,0,0
2007,MI-504,169,123,123,165,22,31,80,89,360,360,237,70,182,178,406,406,398,35,63,159,247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,MI-504,144,98,98,155,19,26,85,59,306,284,183,53,129,177,497,497,497,71,77,196,301,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,MI-504,144,98,98,121,19,30,90,54,196,196,183,43,109,87,507,507,498,81,77,196,311,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,MI-504,150,104,104,121,19,30,90,60,302,302,289,71,198,104,534,534,534,94,78,214,320,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,MI-504,97,51,51,121,0,30,67,30,312,312,264,53,143,169,688,688,688,112,95,270,418,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,MI-504,101,55,55,157,0,30,67,34,291,291,243,53,143,148,534,534,513,106,83,227,307,0,0,0,0,0,0,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,MI-504,100,55,55,157,0,15,59,32,332,332,275,64,175,156,570,570,570,138,98,252,318,0,0,0,0,9,1,false,0,14,14,14,3,7,7,0,,,,,,,,,,,,,,,,,,,,,
2014,MI-504,94,49,39,131,23,14,57,28,156,156,156,50,127,28,543,543,543,,103,260,283,0,0,0,0,9,1,false,0,18,18,18,0,0,18,0,false,false,0,0,0,0,0,0,0,,,,,,,,,,,,
2015,MI-504,154,109,100,105,0,14,57,91,147,147,147,46,126,19,624,624,621,,112,364,260,0,0,0,0,6,2,false,0,34,34,34,8,26,8,0,false,false,425,425,4,100,221,204,0,,,,,,,,,,,,
2016,MI-504,162,112,109,81,0,16,55,101,133,133,133,44,115,16,585,585,585,,96,303,282,0,0,0,0,6,2,false,0,36,36,36,8,31,5,0,false,false,1323,1323,1,265,903,420,0,,,,,,,,,,,,
2017,MI-504,162,112,112,113,0,15,56,96,107,107,107,28,88,17,729,729,690,271,105,347,382,0,0,0,0,10,2,false,0,87,87,87,21,63,24,0,false,false,1466,1466,0,289,1011,455,0,0,10,0,21,0,0,8,0,100,0,0,0
2018,MI-504,165,113,113,107,0,15,57,98,96,96,96,24,77,18,680,680,588,288,111,348,332,0,0,0,0,10,1,false,0,343,343,343,73,276,67,0,false,false,0,0,0,0,0,0,0,0,10,0,21,0,0,9,0,78,0,0,0
2007,MI-505,191,156,41,16,111,31,72,119,78,78,44,12,20,58,247,105,247,50,63,140,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,MI-505,198,166,61,0,0,27,81,117,39,39,39,6,13,26,299,299,299,22,67,178,121,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,MI-505,198,166,61,0,2,32,85,113,54,54,44,6,17,37,526,526,526,29,123,304,222,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,MI-505,197,165,61,0,4,30,84,113,54,54,44,6,17,37,745,745,745,34,202,575,170,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,MI-505,258,226,69,0,9,39,102,156,109,109,99,21,65,44,727,727,727,14,149,484,243,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,MI-505,211,179,179,40,0,34,102,109,112,112,100,21,65,47,681,681,681,24,148,467,214,0,0,0,0,0,0,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,MI-505,215,183,157,40,0,24,85,124,118,118,87,21,65,53,681,681,681,24,148,467,214,0,0,0,0,6,0,false,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
2014,MI-505,188,188,188,0,0,17,68,113,133,133,133,45,45,87,681,681,681,,148,467,214,0,0,0,0,7,1,false,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,,,,,,,,,,,,
2015,MI-505,231,231,231,0,16,25,90,131,133,133,133,16,82,50,291,291,291,,50,155,136,0,0,0,0,10,1,false,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,,,,,,,,,,,,
2016,MI-505,229,197,183,50,5,25,100,119,83,83,83,13,50,33,366,366,366,,76,234,132,0,0,0,0,10,0,false,0,3,3,3,1,3,0,0,false,false,1455,1455,0,310,1078,377,0,,,,,,,,,,,,
2017,MI-505,239,207,193,50,5,32,121,108,67,67,67,10,36,31,410,410,365,56,79,243,167,0,0,0,0,10,0,false,0,111,111,111,30,102,9,0,false,false,1704,1704,0,360,1263,441,0,0,10,15,9,0,0,15,0,66,0,0,0
2018,MI-505,269,234,226,50,5,31,149,110,39,39,39,2,7,32,362,362,317,29,83,237,125,0,0,0,0,10,0,false,0,87,87,87,23,85,2,0,false,false,1712,1712,8,360,1263,449,0,0,10,22,8,0,0,2,0,74,0,0,0
2007,MI-506,342,342,297,0,44,39,125,217,524,524,426,112,351,173,620,620,568,233,94,221,399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,MI-506,334,288,191,0,44,37,121,213,524,426,426,112,351,173,565,565,528,246,73,187,378,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,MI-506,334,288,289,0,44,37,119,215,562,426,426,116,389,173,592,592,555,274,72,185,407,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,MI-506,300,238,72,0,43,29,100,200,375,239,239,109,371,4,608,608,592,290,72,185,423,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,MI-506,337,275,275,0,48,41,112,225,422,286,286,109,371,51,645,645,629,290,90,203,442,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,MI-506,315,253,253,0,54,39,112,203,467,331,301,109,431,36,645,645,594,290,90,203,442,0,0,0,0,0,0,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,MI-506,315,253,253,0,59,27,100,203,467,331,331,109,431,36,645,645,594,290,90,203,442,0,0,0,0,12,0,false,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
2014,MI-506,275,235,235,68,32,27,82,175,534,428,346,136,421,113,865,865,865,,87,250,615,0,0,0,0,18,0,false,0,61,61,26,18,56,5,0,false,false,18,18,18,0,0,18,0,,,,,,,,,,,,
2015,MI-506,357,303,303,40,32,30,99,243,522,377,377,103,332,187,860,860,839,,117,304,556,0,0,0,0,15,3,false,0,206,206,206,44,161,45,0,false,false,1330,1330,24,291,1139,191,0,,,,,,,,,,,,
2016,MI-506,618,565,565,0,35,50,177,426,228,119,119,58,172,54,981,981,981,,100,328,653,0,0,0,0,15,2,false,0,236,236,236,58,207,29,0,false,false,1903,1903,205,439,1667,236,0,,,,,,,,,,,,
2017,MI-506,588,535,535,14,70,49,175,398,206,90,90,33,111,88,890,890,890,388,80,284,606,0,0,0,0,15,7,false,0,274,274,258,67,244,30,0,false,false,2426,2426,142,556,2110,316,0,19,30,42,7,0,0,26,0,15,0,0,0
2018,MI-506,624,571,519,0,47,67,240,379,206,90,90,33,111,88,855,855,855,368,107,304,551,0,0,0,0,5,7,false,0,414,414,414,122,377,37,0,false,false,45,45,45,6,23,22,0,18,20,42,7,0,0,8,176,11,6,0,0
2007,MI-507,361,317,321,0,104,45,161,200,263,205,205,56,193,70,474,429,429,8,102,264,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,MI-507,437,391,397,0,42,45,161,276,375,263,245,82,176,199,774,702,681,12,192,585,189,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,MI-507,441,395,395,0,0,54,178,263,437,335,311,130,379,58,654,654,634,14,174,326,328,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,MI-507,440,394,394,0,0,41,165,275,322,269,269,118,258,64,645,645,638,23,157,311,334,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,MI-507,449,397,397,0,0,82,179,270,420,326,326,175,361,59,628,622,622,30,129,394,234,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,MI-507,455,397,397,0,0,33,165,277,400,286,286,133,351,44,346,331,331,41,152,305,41,0,0,0,0,13,5,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,MI-507,449,397,397,0,0,33,159,277,222,175,175,62,161,56,456,443,443,56,104,293,163,0,0,0,0,13,5,false,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
2014,MI-507,377,325,325,0,131,77,162,202,205,158,158,62,166,39,521,506,506,,111,354,167,0,0,0,0,13,0,false,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,,,,,,,,,,,,
2015,MI-507,387,325,325,0,131,26,172,202,232,194,194,60,184,48,546,533,533,,113,352,194,0,0,0,0,13,0,false,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,,,,,,,,,,,,
2016,MI-507,387,325,325,0,0,26,172,202,103,65,65,34,68,35,467,452,452,,80,275,192,0,0,0,0,13,0,false,0,53,53,53,15,45,8,0,false,false,1081,1081,61,218,831,250,0,,,,,,,,,,,,
2017,MI-507,530,460,275,0,5,43,244,273,71,29,29,21,56,15,481,459,459,77,95,326,155,0,0,0,0,13,0,false,0,118,118,118,34,116,2,0,false,false,1074,1074,80,221,847,227,0,0,13,0,29,0,0,2,0,0,0,0,6
2018,MI-507,555,485,275,0,5,43,244,298,74,32,32,21,56,18,469,447,447,126,87,299,170,0,0,0,0,13,0,false,0,89,89,89,25,78,11,0,false,false,72,72,72,1,2,70,0,0,13,0,26,0,0,2,0,0,0,0,10
2007,MI-508,252,222,126,0,56,15,56,196,117,117,102,26,86,31,192,192,152,0,24,32,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,MI-508,286,256,208,0,26,45,130,156,181,181,181,38,122,59,135,135,127,53,6,16,119,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,MI-508,287,257,213,0,48,44,138,149,208,208,196,38,121,87,175,175,94,89,7,19,156,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,MI-508,262,232,188,0,15,31,98,164,200,200,188,30,103,97,190,190,173,120,7,32,158,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,MI-508,276,246,186,0,40,20,61,215,108,108,96,8,26,82,262,262,188,83,25,61,201,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,MI-508,332,302,242,0,16,25,89,239,118,118,118,8,41,72,257,257,176,92,24,62,195,0,0,0,0,4,5,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,MI-508,348,318,260,0,7,20,89,255,80,80,80,4,16,59,368,368,245,127,36,133,235,0,0,0,0,4,5,false,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
2014,MI-508,335,305,247,0,64,21,96,235,72,72,72,4,12,55,391,391,233,,29,123,268,0,0,0,0,4,5,false,0,40,40,40,8,32,8,0,false,false,36,36,36,9,27,9,0,,,,,,,,,,,,
2015,MI-508,340,310,234,0,37,23,99,237,73,69,69,4,13,57,460,460,302,,44,154,306,0,0,0,0,4,3,false,0,214,214,214,41,175,39,0,false,false,701,701,0,141,541,160,0,,,,,,,,,,,,
2016,MI-508,304,274,198,0,58,23,97,203,79,75,63,3,10,64,429,429,245,,36,130,299,0,0,0,0,4,5,false,0,205,205,205,49,168,37,0,false,false,1342,1342,26,278,1032,310,0,,,,,,,,,,,,
2017,MI-508,283,253,253,0,125,27,109,170,59,55,55,3,10,44,552,552,344,183,52,192,360,0,0,0,0,4,5,false,0,130,130,130,30,100,30,0,false,false,1462,1462,26,287,1075,387,0,0,4,22,10,0,0,21,0,208,0,0,0
2018,MI-508,322,292,292,0,85,28,109,209,58,58,58,9,22,31,595,595,376,183,55,207,388,9,9,9,9,4,5,false,0,145,145,145,37,125,20,0,false,false,24,24,24,4,9,15,0,0,4,13,22,9,0,10,0,214,0,0,0
2007,MI-509,186,139,139,37,5,40,119,67,100,100,82,21,74,26,170,170,164,55,21,65,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,MI-509,183,136,136,31,47,39,114,69,106,106,94,21,65,41,301,301,301,6,50,159,142,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,MI-509,183,136,136,31,35,39,114,69,123,123,113,21,65,58,535,535,535,6,76,242,293,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,MI-509,208,161,161,56,50,39,114,94,250,250,236,41,132,118,504,494,484,13,66,210,294,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,MI-509,197,150,150,25,65,43,108,89,231,231,214,53,143,88,704,697,583,82,109,317,387,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,MI-509,197,150,150,25,34,43,108,89,165,165,155,32,103,62,305,305,210,82,30,93,212,0,0,0,0,0,0,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,MI-509,198,152,152,24,61,36,104,88,152,152,142,29,90,62,306,306,211,26,27,89,217,0,0,0,0,6,0,false,0,6,6,6,1,6,0,0,,,,,,,,,,,,,,,,,,,,,
2014,MI-509,196,150,150,25,64,37,103,88,140,140,130,18,74,66,380,380,256,,36,116,264,0,0,0,0,5,0,false,0,18,18,18,5,18,0,0,false,false,39,39,0,0,0,39,0,,,,,,,,,,,,
2015,MI-509,195,149,149,125,4,34,102,88,69,69,59,2,10,59,410,410,273,,39,123,287,0,0,0,0,5,0,false,0,41,41,36,10,36,5,0,false,false,715,715,35,116,430,285,0,,,,,,,,,,,,
2016,MI-509,195,149,149,92,4,33,99,91,70,70,60,2,10,60,885,885,714,,127,353,532,0,0,0,0,5,0,false,0,295,295,295,67,278,17,0,false,false,549,549,0,152,526,23,0,,,,,,,,,,,,
2017,MI-509,167,121,121,118,4,33,99,63,60,60,50,2,10,50,843,843,638,299,96,283,560,0,0,0,0,5,0,false,0,270,270,105,70,259,11,0,false,false,549,549,0,196,296,253,0,10,5,23,7,0,0,0,0,204,16,0,0
2018,MI-509,175,125,125,118,0,34,104,66,60,60,50,2,10,50,869,869,869,864,88,242,627,0,0,0,0,5,0,false,0,256,256,256,68,239,17,0,false,false,0,0,0,0,0,0,0,5,5,23,7,0,0,0,9,186,19,0,0
2007,MI-510,159,133,121,0,0,15,50,109,211,127,127,24,85,126,124,124,124,69,14,30,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,MI-510,150,126,126,0,0,18,55,95,225,141,134,27,89,136,160,147,143,85,13,34,126,6,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,MI-510,151,127,127,0,0,19,57,94,232,148,141,27,89,143,172,159,159,78,18,53,119,6,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,MI-510,151,127,127,0,0,19,57,94,232,148,141,27,89,143,172,159,159,78,18,53,119,6,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,MI-510,147,123,123,0,13,17,61,86,206,122,122,23,78,128,668,642,642,117,137,462,206,6,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,MI-510,163,139,139,0,5,18,74,79,198,114,114,29,81,112,647,621,620,129,141,426,221,6,6,6,6,10,5,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,MI-510,179,149,149,0,5,23,81,88,193,109,109,24,76,112,286,266,243,148,40,130,156,6,6,6,6,10,5,false,0,4,1,1,1,3,1,0,,,,,,,,,,,,,,,,,,,,,
2014,MI-510,192,166,166,0,5,32,72,110,207,119,119,29,94,108,286,273,272,,43,131,155,6,6,6,6,10,5,false,0,51,14,14,11,34,17,0,false,false,0,0,0,0,0,0,0,,,,,,,,,,,,
2015,MI-510,216,190,190,0,5,38,83,123,174,86,86,29,94,75,317,304,304,,55,159,158,6,6,6,6,10,5,false,0,74,35,35,21,59,15,0,false,false,375,375,0,81,311,64,0,,,,,,,,,,,,
2016,MI-510,204,174,174,0,5,31,73,121,185,97,97,31,98,82,332,317,309,,53,159,173,6,6,6,6,10,5,false,0,72,24,15,16,61,11,0,false,false,170,170,0,10,35,135,0,,,,,,,,,,,,
2017,MI-510,210,184,184,0,8,29,72,123,214,84,84,39,138,73,380,367,308,162,59,182,198,6,6,6,6,15,3,false,0,34,34,34,6,19,15,0,false,false,719,719,719,152,584,135,0,24,15,0,20,0,0,7,8,125,0,0,0
2018,MI-510,208,182,182,0,9,27,73,120,190,78,78,41,124,63,388,373,373,159,61,192,196,6,6,6,6,15,3,false,0,41,41,41,8,32,9,0,false,false,0,0,0,0,0,0,0,20,15,0,20,0,0,4,13,133,0,0,0
2007,MI-511,68,68,11,25,13,10,39,29,28,12,28,6,28,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,MI-511,53,17,17,15,5,6,28,25,52,36,36,11,52,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,MI-511,53,17,11,15,5,6,28,25,75,59,59,19,74,1,79,79,79,0,20,69,10,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,MI-511,62,26,16,33,5,7,33,29,71,54,54,17,70,1,73,73,73,7,17,60,13,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,MI-511,69,32,16,15,5,12,43,26,97,67,42,27,72,25,110,44,44,7,31,94,16,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,MI-511,63,26,13,15,5,7,34,29,50,31,31,17,48,2,103,46,42,7,19,57,46,0,0,0,0,0,0,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,MI-511,66,29,13,15,5,7,34,32,50,27,27,16,50,0,16,16,8,8,1,4,12,0,0,0,0,0,0,false,0,7,7,7,3,6,1,0,,,,,,,,,,,,,,,,,,,,,
2014,MI-511,70,32,13,15,7,7,35,35,54,26,26,14,52,0,13,13,8,,1,2,11,0,0,0,0,0,2,false,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,,,,,,,,,,,,
2015,MI-511,69,31,13,15,10,7,35,34,48,20,20,13,44,2,13,13,8,,1,2,11,0,0,0,0,0,2,false,0,13,13,13,1,2,11,0,false,false,109,109,0,28,106,3,0,,,,,,,,,,,,
2016,MI-511,76,38,20,15,10,9,42,34,48,20,20,13,44,0,189,189,7,,43,144,45,0,0,0,0,0,4,false,0,11,11,11,1,5,6,0,false,false,0,0,0,0,0,0,0,,,,,,,,,,,,
2017,MI-511,67,29,12,25,10,10,35,32,50,18,18,13,46,4,12,12,7,7,0,0,12,0,0,0,0,0,0,false,0,34,34,34,9,27,7,0,false,false,165,165,0,43,135,30,0,0,0,0,2,0,0,12,6,5,0,0,0
2018,MI-511,66,28,12,25,1,10,35,31,44,19,19,13,41,3,7,7,7,7,0,0,7,0,0,0,0,0,0,false,0,25,25,25,5,17,8,0,false,false,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0
2007,MI-512,110,84,76,21,22,8,34,76,163,91,35,33,103,60,130,130,102,33,26,61,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,MI-512,112,86,78,16,11,7,21,91,167,105,67,41,116,51,343,268,83,16,90,217,126,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,MI-512,101,75,76,16,34,6,20,81,175,135,135,54,134,41,339,280,109,16,84,204,135,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,MI-512,103,78,78,26,21,7,22,81,195,117,117,53,172,23,328,322,108,16,69,204,124,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,MI-512,97,75,71,26,10,15,28,69,144,40,40,57,138,6,506,495,129,21,131,370,136,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,MI-512,116,94,88,28,27,12,37,70,140,59,28,32,97,28,198,175,171,21,45,114,84,0,0,0,0,9,15,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,MI-512,142,120,88,42,20,11,37,96,124,40,32,33,100,10,198,186,182,21,41,116,82,0,0,0,0,9,14,false,0,30,30,30,5,14,16,0,,,,,,,,,,,,,,,,,,,,,
2014,MI-512,128,128,6,79,1,40,122,0,161,161,2,46,142,17,0,0,0,,0,0,0,0,0,0,0,6,2,false,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,,,,,,,,,,,,
2015,MI-512,217,181,181,0,0,25,58,156,53,34,34,7,18,27,67,67,67,,10,27,40,0,0,0,0,3,8,false,0,63,63,63,12,33,30,0,false,false,0,0,0,0,0,0,0,,,,,,,,,,,,
2016,MI-512,124,95,76,78,0,17,45,73,44,26,26,11,34,10,243,243,212,,49,143,100,0,0,0,0,6,0,false,0,10,10,10,3,6,4,0,false,false,230,230,0,45,146,84,0,,,,,,,,,,,,
2017,MI-512,147,125,107,35,0,14,46,95,24,12,5,5,12,7,309,309,275,24,76,207,102,0,0,0,0,6,5,false,0,19,19,19,5,13,6,0,false,false,189,189,0,31,107,82,0,4,9,0,5,0,0,5,0,31,5,0,0
2018,MI-512,151,129,107,66,0,15,52,93,21,9,3,5,12,6,319,319,292,18,87,208,111,0,0,0,0,6,3,false,0,13,13,13,2,5,8,0,false,false,0,0,0,0,0,0,0,4,6,0,3,0,0,7,0,27,0,0,0
2007,MI-513,21,-48,1,0,482,3,8,13,54,36,36,12,31,23,17,17,0,0,6,13,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,MI-513,21,5,0,10,0,4,15,6,50,19,19,14,41,9,122,122,25,0,31,98,24,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,MI-513,21,4,0,15,1,4,15,6,41,25,18,10,26,15,122,122,25,0,31,98,24,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,MI-513,21,5,0,15,1,4,15,6,41,25,18,10,26,15,122,122,25,0,31,98,24,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,MI-513,47,31,15,15,0,6,15,32,46,46,46,4,16,30,196,196,196,0,55,144,52,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,MI-513,64,48,0,15,0,13,19,45,20,20,16,7,13,7,39,39,31,0,9,30,9,0,0,0,0,0,0,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,MI-513,54,38,0,15,0,2,8,46,19,19,16,7,13,6,38,38,31,0,9,30,8,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
2014,MI-513,31,15,15,24,0,2,20,11,23,23,23,4,15,8,43,43,35,,7,23,20,0,0,0,0,0,0,false,0,12,12,12,2,8,4,0,false,false,24,24,0,0,0,24,0,,,,,,,,,,,,
2015,MI-513,53,37,15,22,0,4,23,30,32,21,19,8,23,9,38,38,38,,7,25,13,0,0,0,0,0,0,false,0,23,23,23,6,21,2,0,false,false,87,87,0,11,38,49,0,,,,,,,,,,,,
2016,MI-513,26,10,8,20,0,1,16,10,33,14,14,10,31,2,36,36,36,,8,26,10,0,0,0,0,0,0,false,0,50,50,50,8,28,22,0,false,false,271,271,0,57,200,71,0,,,,,,,,,,,,
2017,MI-513,36,20,18,21,0,5,29,7,33,14,14,10,32,1,56,56,35,0,8,30,26,0,0,0,0,0,0,false,0,41,41,41,8,28,13,0,false,false,206,206,0,40,135,71,0,2,0,0,0,0,0,9,0,21,0,0,0
2018,MI-513,26,10,8,21,0,2,19,7,26,13,13,9,25,1,52,52,32,0,5,23,29,0,0,0,0,0,0,false,0,18,18,16,2,5,13,0,false,false,0,0,0,0,0,0,0,2,0,0,0,0,0,5,0,20,0,0,0
2007,MI-514,108,54,108,0,204,18,41,67,97,97,83,10,30,67,24,24,24,0,0,0,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,MI-514,127,73,73,0,24,23,56,71,107,107,93,5,15,92,23,5,5,0,6,18,5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,MI-514,127,73,73,0,24,23,56,71,132,132,108,12,40,92,23,5,0,0,6,18,5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
